lkrID,resdn,count,sptl_unit,tsar_trty,geonm_crd,geonm_lat,geonm_long,geonm_url,cnfdnc,resdn_alt,note
156,Czewirzeno,83,town,undetermined,-,-,-,undetermined,0,,
157,Friedenthal,83,town,no,-,-,-,undetermined,0,,https://www.geonames.org/search.html?q=friedenthal&country=
158,Detroit,82,town,no,"42.33143, -83.04575",42.33143,-83.04575,https://www.geonames.org/4990729/detroit.html,2,,
159,Wilma,82,town,undetermined,-,-,-,undetermined,0,,https://www.geonames.org/search.html?q=wilma&country=
160,Pilwischken,90,town,no,-,-,-,undetermined,0,,
161,Wansau,81,town,undetermined,-,-,-,undetermined,1,,possibly Warsaw
162,Boston,79,town,no,"42.35843, -71.05977",42.35843,-71.05977,https://www.geonames.org/4930956/boston.html,2,,
163,Prenn,80,town,undetermined,-,-,-,undetermined,0,,
164,Slonim,79,town,yes,"53.0869, 25.3163",53.0869,25.3163,https://www.geonames.org/621754/slonim.html,3,,
165,Bergen,75,town,no,"60.39299, 5.32415",60.39299,5.32415,https://www.geonames.org/3161732/bergen.html,3,,
166,Tula,75,town,yes,"54.19609, 37.61822",54.19609,37.61822,https://www.geonames.org/480562/tula.html,3,,
167,Landau,72,town,no,"49.19844, 8.11692",49.19844,8.11692,https://www.geonames.org/2881646/landau-in-der-pfalz.html,2,,others throughout Germany
168,Rossiani,167,town,yes,"55.37973, 23.12386",55.37973,23.12386,https://www.geonames.org/595378/raseiniai.html,3,ROSSEIN,
169,Belzoro,68,town,yes,"60.0288, 37.8084",60.0288,37.8084,https://www.geonames.org/577711/belozersk.html,3,BELOZERKOWO,
170,Millwaukee,68,town,no,"43.0389, -87.90647",43.0389,-87.90647,https://www.geonames.org/5263045/milwaukee.html,3,,
171,Samara,65,town,yes,"53.20007, 50.15",53.20007,50.15,https://www.geonames.org/499099/samara.html,3,,
172,Bielsk,60,town,yes,"52.76512, 23.18647",52.76512,23.18647,https://www.geonames.org/775986/bielsk-podlaski.html,3,BELSK; BILSK,
173,Sarapul,60,town,yes,"56.47633, 53.79782",56.47633,53.79782,https://www.geonames.org/498687/sarapul.html,2,,
174,Kaluga,57,town,yes,"54.5293, 36.27542",54.5293,36.27542,https://www.geonames.org/553915/kaluga.html,3,,
175,Konotop,54,town,yes,"51.24032, 33.20263",51.24032,33.20263,https://www.geonames.org/705135/konotop.html,3,,
176,Gorodok,54,town,yes,"55.4624, 29.9845",55.4624,29.9845,https://www.geonames.org/628155/haradok.html,3,,
177,Lemberg,56,town,no,"49.83826, 24.02324",49.83826,24.02324,https://www.geonames.org/702550/lviv.html,3,,
178,Kertch,52,town,yes,"45.35675, 36.47542",45.35675,36.47542,https://www.geonames.org/706524/kerch.html,3,,
179,Sevastopol,52,town,yes,"44.60795, 33.52134",44.60795,33.52134,https://www.geonames.org/694423/sevastopol.html,3,,
180,Vinnitsa,52,town,yes,"49.2322, 28.46871",49.2322,28.46871,https://www.geonames.org/689558/vinnytsya.html,3,,
181,Konin,51,town,yes,"52.22338, 18.25121",52.22338,18.25121,https://www.geonames.org/3095321/konin.html,3,,
182,Krasnopol,50,town,yes,"54.11613, 23.20476",54.11613,23.20476,https://www.geonames.org/767610/krasnopol.html,3,,
183,Lutsk,50,town,yes,"50.75932, 25.34244",50.75932,25.34244,https://www.geonames.org/702569/lutsk.html,3,,
184,London,49,town,no,"51.50853, -0.12574",51.50853,-0.12574,https://www.geonames.org/2643743/london.html,3,,
185,Irkutsk,48,town,yes,"52.29778, 104.29639",52.29778,104.29639,https://www.geonames.org/2023469/irkutsk.html,3,,
186,Ekaterinoslav,47,town,yes,"48.46664, 35.04066",48.46664,35.04066,https://www.geonames.org/709930/dnipro.html,2,EKATERISNK,
187,Perm,46,town,yes,"58.01046, 56.25017",58.01046,56.25017,https://www.geonames.org/511196/perm.html,3,,
188,Tver,46,town,yes,"56.85836, 35.90057",56.85836,35.90057,https://www.geonames.org/480060/tver.html,3,TWER,
189,Khotin,45,town,yes,"48.50555, 26.48978",48.50555,26.48978,https://www.geonames.org/706244/khotyn.html,3,CHOTIN,
190,Balta,71,town,yes,"47.93596, 29.62225",47.93596,29.62225,https://www.geonames.org/712886/balta.html,3,BALTO; BALTE,
191,Jaroslaw,44,town,yes,"57.62987, 39.87368",57.62987,39.87368,https://www.geonames.org/468902/yaroslavl.html,3,JAROESLAWITZ,
192,Ternopol,42,town,yes,"49.55404, 25.59067",49.55404,25.59067,https://www.geonames.org/691650/ternopil.html,2,TARNOPOL,
193,Belaya Tserkov,40,town,yes,"49.8004, 30.12851",49.8004,30.12851,https://www.geonames.org/712165/bila-tserkva.html,2,,
194,Kremenets,50,town,yes,"50.09864, 25.72787",50.09864,25.72787,https://www.geonames.org/704143/kremenets.html,3,,
195,Bryansk,52,town,yes,"53.25209, 34.37167",53.25209,34.37167,https://www.geonames.org/571476/bryansk.html,3,,
196,Wolinsk,36,town,yes,"50.85253, 24.32364",50.85253,24.32364,https://www.geonames.org/689378/volodymyr-volynskyi.html,2,,
197,Nikolaev,112,town,yes,"46.97625, 31.99296",46.97625,31.99296,https://www.geonames.org/700569/mykolayiv.html,3,NICKELAWA; NICKLOW,
198,Radom,35,town,yes,"51.40253, 21.14714",51.40253,21.14714,https://www.geonames.org/760778/radom.html,3,,
199,Narva,35,town,yes,"59.37722, 28.19028",59.37722,28.19028,https://www.geonames.org/590031/narva.html,3,,
200,Novogrudok,34,town,yes,"53.5942, 25.8191",53.5942,25.8191,https://www.geonames.org/624785/novogrudok.html,3,,
201,Orel,32,town,yes,"52.96508, 36.07849",52.96508,36.07849,https://www.geonames.org/515012/orel.html,3,,
202,Bendery,34,town,yes,"46.83156, 29.47769",46.83156,29.47769,https://www.geonames.org/618577/bender.html,3,,
203,Biala,34,town,yes,"52.03238, 23.11652",52.03238,23.11652,https://www.geonames.org/776175/biala-podlaska.html,3,,
204,Tiraspol,31,town,yes,"46.84274, 29.62909",46.84274,29.62909,https://www.geonames.org/617239/tiraspol.html,3,,
205,Vladislav,31,town,yes,-,-,-,undetermined,0,WLADISLAV,https://www.geonames.org/search.html?q=vladislav&country=
206,Kursk,29,town,yes,"51.73733, 36.18735",51.73733,36.18735,https://www.geonames.org/538560/kursk.html,3,,
207,Nizhni Novgorod,28,town,yes,"56.32867, 44.00205",56.32867,44.00205,https://www.geonames.org/520555/nizhniy-novgorod.html,3,,
208,Viborg,28,town,yes,"60.70763, 28.75283",60.70763,28.75283,https://www.geonames.org/470546/vyborg.html,3,,
209,Nezhin,52,town,yes,"51.04801, 31.88688",51.04801,31.88688,https://www.geonames.org/699942/nizhyn.html,3,NIESEN,
210,Romny,27,town,yes,"50.75104, 33.47471",50.75104,33.47471,https://www.geonames.org/695464/romny.html,1,ROMAN,
211,Polotsk,26,town,yes,"55.4879, 28.7856",55.4879,28.7856,https://www.geonames.org/623317/polatsk.html,3,,
212,Peterhof,30,town,yes,"59.88333, 29.9",59.88333,29.9,https://www.geonames.org/510291/peterhof.html,1,,alternate location in Germany
213,Tiflis,22,town,yes,"41.69411, 44.83368",41.69411,44.83368,https://www.geonames.org/611717/tbilisi.html,3,,
214,Tomsk,22,town,yes,"56.49771, 84.97437",56.49771,84.97437,https://www.geonames.org/1489425/tomsk.html,3,,
215,Bobruisk,33,town,yes,"53.1384, 29.2214",53.1384,29.2214,https://www.geonames.org/630468/babruysk.html,3,BOBRICK,
216,Jassy,21,town,no,"47.16667, 27.6",47.16667,27.6,https://www.geonames.org/675810/iasi.html,3,,
217,Pskov,20,town,yes,"57.8136, 28.3496",57.8136,28.3496,https://www.geonames.org/504341/pskov.html,3,,
218,Rudny,20,town,yes,"51.95164, 19.47988",51.95164,19.47988,https://www.geonames.org/3103343/biesiekierz-rudny.html,1,,
219,Akkerman,19,town,yes,"46.19484, 30.34827",46.19484,30.34827,https://www.geonames.org/712160/bilhorod-dnistrovskyi.html,3,,
220,Borisow,27,town,yes,"54.2279, 28.505",54.2279,28.505,https://www.geonames.org/630376/barysaw.html,2,,
221,Kremenchug,18,town,yes,"49.06253, 33.40484",49.06253,33.40484,https://www.geonames.org/704147/kremenchuk.html,3,,
222,Uleaborg,18,town,yes,"65.01236, 25.46816",65.01236,25.46816,https://www.geonames.org/643492/oulu.html,3,,
223,Astrakhan,21,town,yes,"46.34968, 48.04076",46.34968,48.04076,https://www.geonames.org/580497/astrakhan.html,3,ASBRACHAN; ASWACHAN,
224,Boryslaw,16,town,yes,"49.29208, 23.42577",49.29208,23.42577,https://www.geonames.org/711669/boryslav.html,2,BORYSLAWA,
225,Mozdok,14,town,yes,"43.74359, 44.65177",43.74359,44.65177,https://www.geonames.org/524736/mozdok.html,2,MOSDOK,
226,Bachmut,13,town,yes,"48.59441, 37.99983",48.59441,37.99983,https://www.geonames.org/713174/bakhmut.html,3,,
227,Arkhangelsk,12,town,yes,"64.5401, 40.5433",64.5401,40.5433,https://www.geonames.org/581049/arkhangel-sk.html,3,ARCHANGELSK,
228,Palanga,29,town,yes,"55.9175, 21.06861",55.9175,21.06861,https://www.geonames.org/596238/palanga.html,3,,
229,Stavropol,11,town,yes,"45.0428, 41.9734",45.0428,41.9734,https://www.geonames.org/487846/stavropol.html,3,,
230,Taganrog,11,town,yes,"47.23627, 38.9053",47.23627,38.9053,http://www.geonames.org/484907/taganrog.html,3,,
231,Penza,10,town,yes,"53.20066, 45.00464",53.20066,45.00464,https://www.geonames.org/511565/penza.html,3,,
232,Tambov,10,town,yes,"52.73169, 41.44326",52.73169,41.44326,https://www.geonames.org/484646/tambov.html,3,TAMBOW,
233,Baku,9,town,yes,"40.37767, 49.89201",40.37767,49.89201,https://www.geonames.org/587084/baku.html,3,,
234,Osmiany,57,town,yes,"54.421, 25.936",54.421,25.936,https://www.geonames.org/630515/ashmyany.html,3,OSCHMANY,
235,Ostrog,9,town,yes,"50.32942, 26.51425",50.32942,26.51425,https://www.geonames.org/698232/ostroh.html,2,,
